fips_county,fast_food,grocery
19167,21.0,10.0
19169,78.0,15.0
19171,5.0,6.0
19175,8.0,
19177,,5.0
19179,28.0,7.0
19181,23.0,4.0
19183,6.0,4.0
19187,23.0,6.0
19189,4.0,5.0
19191,8.0,5.0
19193,100.0,16.0
19197,9.0,5.0
20001,5.0,
20003,4.0,
20005,8.0,3.0
20007,4.0,3.0
20009,18.0,5.0
20011,12.0,
20013,5.0,3.0
20015,49.0,4.0
20021,11.0,4.0
20023,,3.0
20027,5.0,3.0
20029,9.0,3.0
20031,3.0,
20035,22.0,
20037,19.0,6.0
20041,9.0,5.0
20043,,3.0
20045,111.0,20.0
20051,34.0,5.0
20055,31.0,4.0
20057,20.0,6.0
20059,15.0,
20061,21.0,4.0
20063,3.0,
20067,4.0,
20073,,3.0
20077,4.0,4.0
20079,25.0,5.0
20085,7.0,
20091,458.0,83.0
20095,5.0,
20099,12.0,3.0
20103,41.0,6.0
20107,3.0,
20111,30.0,5.0
20113,22.0,8.0
20115,5.0,4.0
20117,6.0,3.0
20121,19.0,
20123,3.0,
20125,27.0,
20127,5.0,
20131,3.0,4.0
20133,7.0,3.0
20135,,3.0
20137,3.0,
20139,3.0,3.0
20145,4.0,
20147,5.0,
20149,16.0,9.0
20151,8.0,
20155,52.0,9.0
20159,7.0,3.0
20161,50.0,7.0
20163,,3.0
20165,3.0,
20167,5.0,
20169,57.0,5.0
20171,4.0,
20173,462.0,75.0
20175,17.0,4.0
20177,140.0,27.0
20181,7.0,
20183,,3.0
20189,3.0,
20191,9.0,3.0
20193,9.0,
20201,,4.0
20205,4.0,
20207,3.0,
20209,113.0,26.0
21001,7.0,4.0
21003,9.0,4.0
21005,17.0,
21009,31.0,8.0
21011,7.0,
21013,29.0,7.0
21015,138.0,16.0
21017,15.0,
21019,62.0,5.0
21021,28.0,4.0
21025,7.0,3.0
21027,7.0,4.0
21029,45.0,5.0
21031,6.0,
21033,9.0,4.0
21035,28.0,4.0
21037,71.0,13.0
21041,12.0,3.0
21043,20.0,5.0
21045,3.0,7.0
21047,51.0,8.0
21049,27.0,3.0
21051,12.0,4.0
21053,7.0,
21055,4.0,
21057,3.0,
21059,76.0,14.0
21061,4.0,
21065,8.0,3.0
21067,310.0,59.0
